127.0.0.1 - - [21/Jun/2016:01:16:37 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Jun/2016:01:21:49 +0800] "GET /ShrimpBreeding/Style/login.css HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [21/Jun/2016:01:21:57 +0800] "GET /ShrimpBreeding/login.jsp HTTP/1.1" 200 1781
0:0:0:0:0:0:0:1 - - [21/Jun/2016:01:21:57 +0800] "GET /ShrimpBreeding/style/login.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [21/Jun/2016:01:23:49 +0800] "GET /ShrimpBreeding/login.jsp HTTP/1.1" 200 1781
0:0:0:0:0:0:0:1 - - [21/Jun/2016:01:23:50 +0800] "GET /ShrimpBreeding/style/login.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [21/Jun/2016:01:23:50 +0800] "GET /ShrimpBreeding/login.jsp HTTP/1.1" 200 1781
0:0:0:0:0:0:0:1 - - [21/Jun/2016:01:23:50 +0800] "GET /ShrimpBreeding/style/login.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [21/Jun/2016:01:23:50 +0800] "GET /ShrimpBreeding/login.jsp HTTP/1.1" 200 1781
0:0:0:0:0:0:0:1 - - [21/Jun/2016:01:23:50 +0800] "GET /ShrimpBreeding/style/login.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [21/Jun/2016:01:23:50 +0800] "GET /ShrimpBreeding/login.jsp HTTP/1.1" 200 1781
0:0:0:0:0:0:0:1 - - [21/Jun/2016:01:23:51 +0800] "GET /ShrimpBreeding/style/login.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [21/Jun/2016:01:23:51 +0800] "GET /ShrimpBreeding/login.jsp HTTP/1.1" 200 1781
0:0:0:0:0:0:0:1 - - [21/Jun/2016:01:23:51 +0800] "GET /ShrimpBreeding/style/login.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [21/Jun/2016:01:23:51 +0800] "GET /ShrimpBreeding/login.jsp HTTP/1.1" 200 1781
0:0:0:0:0:0:0:1 - - [21/Jun/2016:01:23:51 +0800] "GET /ShrimpBreeding/style/login.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [21/Jun/2016:01:23:52 +0800] "GET /ShrimpBreeding/login.jsp HTTP/1.1" 200 1781
0:0:0:0:0:0:0:1 - - [21/Jun/2016:01:23:52 +0800] "GET /ShrimpBreeding/style/login.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [21/Jun/2016:01:23:52 +0800] "GET /ShrimpBreeding/login.jsp HTTP/1.1" 200 1781
0:0:0:0:0:0:0:1 - - [21/Jun/2016:01:23:52 +0800] "GET /ShrimpBreeding/style/login.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [21/Jun/2016:01:23:53 +0800] "GET /ShrimpBreeding/login.jsp HTTP/1.1" 200 1781
0:0:0:0:0:0:0:1 - - [21/Jun/2016:01:23:53 +0800] "GET /ShrimpBreeding/style/login.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [21/Jun/2016:01:24:01 +0800] "GET /ShrimpBreeding/login.jsp HTTP/1.1" 200 1781
0:0:0:0:0:0:0:1 - - [21/Jun/2016:01:24:01 +0800] "GET /ShrimpBreeding/style/login.css HTTP/1.1" 404 1054
